Token number,File ID,Time,Interview Section,Speaker,Token,Interlocutor,Prompted,Preceding word,Preceding syllable,Preceding morphology,Syllables in preceding word,Number of utterances since variable,Location,Age,Age bracket,Sex
267,20160302bul01bul02bc,0:57:41,2 - Narratives,bul02,mijelp,I,N,inkarij,rij,ROOT_ENG,3,,bul,36,32+,F
268,20160302bul01bul02bc,0:57:43,2 - Narratives,bul02,mijel,I,N,sapotim,tim,TR,3,,bul,36,32+,F
269,20160302bul01bul02bc,1:00:23,2 - Narratives,bul02,miyel,I,N,hambag,bag,ROOT_ENG,2,,bul,36,32+,F
270,20160302bul01bul02bc,1:00:32,2 - Narratives,bul02,mijel,I,N,gibit,bit,TR,2,,bul,36,32+,F
271,20160302bul01bul02bc,1:00:35,2 - Narratives,bul01,miyel,I,Y,gibit,bit,TR,2,,bul,37,32+,F
272,20160302bul01bul02bc,1:00:36,2 - Narratives,bul02,mijel,I,Y,nyangarri,rri,ROOT_SUB,3,,bul,36,32+,F
273,20160302bul01bul02bc,1:01:43,2 - Narratives,bul02,mijelp,I,N,jinggibat,bat,ROOT_ENG,3,,bul,36,32+,F
274,20160302bul01bul02bc,1:15:02,2 - Narratives,bul01,mijelp,I,N,helpim,pim,TR,2,,bul,37,32+,F
275,20160302bul01bul02d,0:22:42,5 - Variable checklist,bul02,miyel,I,N,lugaran,ran,ADV,3,,bul,36,32+,F
276,20160302bul01bul02d,0:26:02,5 - Variable checklist,bul01,mijelp,I,N,gedim,dim,TR,2,,bul,37,32+,F
277,20160302bul01bul02d,0:26:15,5 - Variable checklist,bul01,mel,I,N,meigi,gi,TR,2,,bul,37,32+,F
278,20160302bul01bul02d,0:26:15,5 - Variable checklist,bul01,mel,I,N,meigi,gi,TR,2,,bul,37,32+,F
279,20160302bul01bul02d,0:26:33,5 - Variable checklist,bul02,mijel,I,Y,nyangarri,rri,ROOT_SUB,3,,bul,36,32+,F
280,20160302bul01bul02d,0:26:34,5 - Variable checklist,bul01,mijelp,I,Y,gibit,bit,TR,2,,bul,37,32+,F
281,20160302bul01bul02d,0:26:36,5 - Variable checklist,bul02,mijel,I,Y,gibit,bit,TR,2,,bul,36,32+,F
282,20160302bul01bul02d,0:26:38,5 - Variable checklist,bul01,miel,I,Y,gibit,bit,TR,2,,bul,37,32+,F
283,20160302bul01bul02d,0:29:59,6 - SCOPIC,bul01,mijelp,I,N,intrijusbat,bat,PROG,4,,bul,37,32+,F
284,20160302bul01bul02d,0:30:00,6 - SCOPIC,bul02,mijel,I,N,intrijusimbat,bat,PROG,5,,bul,36,32+,F
285,20160302bul01bul02d,0:32:15,6 - SCOPIC,bul02,mijelp,I,N,wori,ri,ROOT_ENG,2,,bul,36,32+,F
286,20160302bul01bul02d,0:33:32,6 - SCOPIC,bul02,miyel,I,N,jelij,lij,ROOT_ENG,2,,bul,36,32+,F
287,20160302bul01bul02d,0:33:41,6 - SCOPIC,bul02,miyel,I,N,jelij,lij,ROOT_ENG,2,,bul,36,32+,F
288,20160302bul01bul02d,0:46:12,6 - SCOPIC,bul02,mijel,I,N,sodimat,mat,ADV,3,,bul,36,32+,F
289,20160302bul01bul02d,0:46:12,6 - SCOPIC,bul02,miyel,I,N,sodimat,mat,ADV,3,,bul,36,32+,F
290,20160224jil08jil09,0:19:07,2 - Narratives,jil08,miyel,I,N,ardi,rdi,TR,2,,jil,22,18-31,M
291,20160224jil08jil09,0:20:23,2 - Narratives,jil08,miyel,I,N,twisti,sti,TR,2,,jil,22,18-31,M
292,20160224jil08jil09,0:52:40,5 - Variable checklist,jil08,mijel,I,N,hitimbat,bat,PROG,2,,jil,22,18-31,M
293,20160224jil08jil09,0:55:33,5 - Variable checklist,jil08,mijel,I,N,di ,di,ROOT_SUB,1,,jil,22,18-31,M
294,20160224jil08jil09,1:00:50,5 - Variable checklist,jil08,mijel,I,N,bilk,bilk,ROOT_SUB,1,,jil,22,18-31,M
295,20160224jil08jil09,1:02:27,5 - Variable checklist,jil08,miyel,I,Y,gudid,did,ROOT_SUB,2,,jil,22,18-31,M
296,20160224jil08jil09,1:02:31,5 - Variable checklist,jil08,miyel,I,Y,gudid,did,ROOT_SUB,2,,jil,22,18-31,M
297,20160224jil08jil09,1:08:59,5 - Variable checklist,jil08,miyel,I,N,birrbirrbat,bat,PROG,3,,jil,22,18-31,M
298,20160224jil08jil09,1:09:10,5 - Variable checklist,jil08,mijal,I,N,yarugu ,gu,ROOT_SUB,3,,jil,22,18-31,M
299,20160224jil08jil09,1:10:44,5 - Variable checklist,jil08,miyel,I,N,gai,gai,ROOT_SUB,1,,jil,22,18-31,M
300,20160224jil08jil09,,,,,,,,,,,,jil,22,18-31,M
301,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,
